time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,2.11,1.75,0.0
20140101:0110,0.0,0.0,0.0,2.19,1.75,0.0
20140101:0210,0.0,0.0,0.0,2.27,1.74,0.0
20140101:0310,0.0,0.0,0.0,2.35,1.74,0.0
20140101:0410,0.0,0.0,0.0,2.26,1.72,0.0
20140101:0510,0.0,0.0,0.0,2.17,1.7,0.0
20140101:0610,0.0,0.0,0.0,2.08,1.68,0.0
20140101:0710,353770.2,27.43,10.42,3.14,1.51,0.0
20140101:0810,1964390.4,100.79,18.17,4.2,1.34,0.0
20140101:0910,1896917.4,98.38,23.86,5.26,1.17,0.0
20140101:1010,5042482.2,232.03,26.91,5.68,1.33,0.0
20140101:1110,3083913.0,149.68,26.92,6.09,1.49,0.0
20140101:1210,476809.2,34.06,23.9,6.51,1.64,0.0
20140101:1310,1330673.4,73.79,18.23,6.18,1.4,0.0
20140101:1410,652503.6,42.57,10.5,5.85,1.16,0.0
20140101:1510,0.0,0.0,0.0,5.52,0.92,0.0
20140101:1610,0.0,0.0,0.0,5.0,1.02,0.0
20140101:1710,0.0,0.0,0.0,4.48,1.12,0.0
20140101:1810,0.0,0.0,0.0,3.96,1.21,0.0
20140101:1910,0.0,0.0,0.0,3.56,1.27,0.0
20140101:2010,0.0,0.0,0.0,3.16,1.33,0.0
20140101:2110,0.0,0.0,0.0,2.76,1.39,0.0
20140101:2210,0.0,0.0,0.0,2.53,1.39,0.0
20140101:2310,0.0,0.0,0.0,2.3,1.39,0.0
20140102:0010,0.0,0.0,0.0,2.07,1.39,0.0
20140102:0110,0.0,0.0,0.0,2.01,1.25,0.0
20140102:0210,0.0,0.0,0.0,1.95,1.1,0.0
20140102:0310,0.0,0.0,0.0,1.89,0.95,0.0
20140102:0410,0.0,0.0,0.0,1.73,0.89,0.0
20140102:0510,0.0,0.0,0.0,1.57,0.82,0.0
20140102:0610,0.0,0.0,0.0,1.41,0.76,0.0
20140102:0710,7886403.0,354.54,10.43,2.74,0.62,0.0
20140102:0810,13134479.4,588.33,18.19,4.08,0.48,0.0
20140102:0910,16259670.0,745.83,23.91,5.42,0.34,0.0
