time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,-0.73,1.16,0.0
20140101:0110,0.0,0.0,0.0,-0.57,1.05,0.0
20140101:0210,0.0,0.0,0.0,-0.41,0.95,0.0
20140101:0310,0.0,0.0,0.0,-0.25,0.84,0.0
20140101:0410,0.0,0.0,0.0,-0.49,0.79,0.0
20140101:0510,0.0,0.0,0.0,-0.74,0.74,0.0
20140101:0610,30450.0,7.57,2.52,-0.98,0.69,0.0
20140101:0710,4787300.0,168.96,11.28,0.94,0.53,0.0
20140101:0810,10928750.0,366.0,18.45,2.87,0.37,0.0
20140101:0910,10447850.0,354.17,23.46,4.79,0.21,0.0
20140101:1010,5756100.0,203.46,25.8,5.46,0.35,0.0
20140101:1110,7187950.0,249.72,25.16,6.12,0.49,0.0
20140101:1210,5989550.0,211.35,21.63,6.79,0.63,0.0
20140101:1310,3856300.0,142.35,15.63,6.21,0.46,0.0
20140101:1410,2473450.0,98.24,7.72,5.63,0.29,0.0
20140101:1510,0.0,0.0,0.0,5.05,0.12,0.0
20140101:1610,0.0,0.0,0.0,4.06,0.29,0.0
20140101:1710,0.0,0.0,0.0,3.08,0.46,0.0
20140101:1810,0.0,0.0,0.0,2.09,0.63,0.0
20140101:1910,0.0,0.0,0.0,1.56,0.62,0.0
20140101:2010,0.0,0.0,0.0,1.03,0.6,0.0
20140101:2110,0.0,0.0,0.0,0.5,0.58,0.0
20140101:2210,0.0,0.0,0.0,0.24,0.65,0.0
20140101:2310,0.0,0.0,0.0,-0.03,0.72,0.0
20140102:0010,0.0,0.0,0.0,-0.29,0.79,0.0
20140102:0110,0.0,0.0,0.0,-0.26,0.6,0.0
20140102:0210,0.0,0.0,0.0,-0.23,0.41,0.0
20140102:0310,0.0,0.0,0.0,-0.21,0.22,0.0
20140102:0410,0.0,0.0,0.0,-0.32,0.3,0.0
20140102:0510,0.0,0.0,0.0,-0.44,0.38,0.0
20140102:0610,0.0,1.89,2.52,-0.55,0.46,0.0
20140102:0710,1434650.0,61.69,11.29,1.75,0.42,0.0
20140102:0810,11201750.0,376.93,18.48,4.04,0.39,0.0
20140102:0910,16018450.0,546.81,23.52,6.34,0.36,0.0
20140102:1010,18155550.0,625.86,25.88,7.23,0.46,0.0
20140102:1110,22346450.0,785.68,25.26,8.12,0.57,0.0
20140102:1210,20076700.0,700.13,21.75,9.01,0.68,0.0
20140102:1310,15314950.0,525.66,15.76,8.27,0.76,0.0
20140102:1410,7610400.0,270.29,7.86,7.54,0.84,0.0
20140102:1510,0.0,0.0,0.0,6.8,0.92,0.0
20140102:1610,0.0,0.0,0.0,6.07,0.83,0.0
20140102:1710,0.0,0.0,0.0,5.33,0.74,0.0
20140102:1810,0.0,0.0,0.0,4.6,0.65,0.0
20140102:1910,0.0,0.0,0.0,4.05,0.46,0.0
20140102:2010,0.0,0.0,0.0,3.51,0.28,0.0
20140102:2110,0.0,0.0,0.0,2.96,0.1,0.0
20140102:2210,0.0,0.0,0.0,2.74,0.1,0.0
20140102:2310,0.0,0.0,0.0,2.51,0.1,0.0
20140103:0010,0.0,0.0,0.0,2.29,0.1,0.0
20140103:0110,0.0,0.0,0.0,0.42,0.36,0.0
20140103:0210,0.0,0.0,0.0,-1.44,0.62,0.0
20140103:0310,0.0,0.0,0.0,-3.31,0.88,0.0
20140103:0410,0.0,0.0,0.0,-3.67,0.89,0.0
20140103:0510,0.0,0.0,0.0,-4.04,0.9,0.0
20140103:0610,31500.0,7.57,2.51,-4.4,0.91,0.0
20140103:0710,2056250.0,81.46,11.31,-0.75,0.74,0.0
20140103:0810,3684450.0,135.09,18.51,2.9,0.57,0.0
20140103:0910,6889750.0,240.52,23.58,6.55,0.4,0.0
20140103:1010,9769900.0,336.03,25.96,7.89,0.59,0.0
20140103:1110,8027950.0,280.17,25.37,9.24,0.79,0.0
20140103:1210,10354400.0,358.05,21.87,10.58,0.98,0.0
20140103:1310,15041950.0,519.29,15.89,9.85,0.87,0.0
20140103:1410,7275100.0,260.76,7.99,9.13,0.76,0.0
20140103:1510,0.0,0.0,0.0,8.4,0.65,0.0
20140103:1610,0.0,0.0,0.0,7.44,0.52,0.0
20140103:1710,0.0,0.0,0.0,6.49,0.39,0.0
20140103:1810,0.0,0.0,0.0,5.53,0.26,0.0
20140103:1910,0.0,0.0,0.0,4.31,0.27,0.0
20140103:2010,0.0,0.0,0.0,3.08,0.28,0.0
20140103:2110,0.0,0.0,0.0,1.86,0.29,0.0
20140103:2210,0.0,0.0,0.0,1.08,0.29,0.0
20140103:2310,0.0,0.0,0.0,0.29,0.3,0.0
20140104:0010,0.0,0.0,0.0,-0.49,0.3,0.0
20140104:0110,0.0,0.0,0.0,-2.35,0.56,0.0
20140104:0210,0.0,0.0,0.0,-4.21,0.82,0.0
20140104:0310,0.0,0.0,0.0,-6.08,1.08,0.0
20140104:0410,0.0,0.0,0.0,-6.13,0.94,0.0
20140104:0510,0.0,0.0,0.0,-6.19,0.81,0.0
20140104:0610,837900.0,42.5,2.52,-6.25,0.68,0.0
20140104:0710,9094750.0,302.06,11.33,-2.2,0.57,0.0
20140104:0810,16881200.0,564.41,18.56,1.86,0.46,0.0
20140104:0910,21323050.0,740.6,23.65,5.91,0.34,0.0
20140104:1010,23427250.0,825.77,26.06,7.36,0.52,0.0
20140104:1110,22580250.0,795.49,25.48,8.8,0.7,0.0
20140104:1210,19835200.0,693.1,22.0,10.25,0.88,0.0
20140104:1310,15008000.0,516.18,16.03,9.51,1.04,0.0
20140104:1410,7315700.0,260.99,8.13,8.77,1.2,0.0
20140104:1510,0.0,0.0,0.0,8.03,1.35,0.0
20140104:1610,0.0,0.0,0.0,6.82,1.18,0.0
20140104:1710,0.0,0.0,0.0,5.6,1.01,0.0
20140104:1810,0.0,0.0,0.0,4.39,0.84,0.0
20140104:1910,0.0,0.0,0.0,3.67,0.64,0.0
20140104:2010,0.0,0.0,0.0,2.95,0.44,0.0
20140104:2110,0.0,0.0,0.0,2.23,0.23,0.0
20140104:2210,0.0,0.0,0.0,2.02,0.29,0.0
20140104:2310,0.0,0.0,0.0,1.81,0.35,0.0
20140105:0010,0.0,0.0,0.0,1.6,0.41,0.0
20140105:0110,0.0,0.0,0.0,1.19,0.4,0.0
20140105:0210,0.0,0.0,0.0,0.78,0.38,0.0
20140105:0310,0.0,0.0,0.0,0.37,0.36,0.0
20140105:0410,0.0,0.0,0.0,0.17,0.51,0.0
20140105:0510,0.0,0.0,0.0,-0.04,0.66,0.0
20140105:0610,2450.0,5.68,2.53,-0.25,0.81,0.0
20140105:0710,2028950.0,81.37,11.36,1.76,0.86,0.0
20140105:0810,2179100.0,87.03,18.61,3.78,0.91,0.0
20140105:0910,2992150.0,114.46,23.72,5.79,0.95,0.0
20140105:1010,1474200.0,64.33,26.16,7.07,0.98,0.0
20140105:1110,2698850.0,105.95,25.61,8.36,1.02,0.0
