time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,1.41,1.39,0.0
20140101:0110,0.0,0.0,0.0,1.51,1.3,0.0
20140101:0210,0.0,0.0,0.0,1.61,1.2,0.0
20140101:0310,0.0,0.0,0.0,1.72,1.1,0.0
20140101:0410,0.0,0.0,0.0,1.55,0.96,0.0
20140101:0510,0.0,0.0,0.0,1.39,0.82,0.0
20140101:0610,0.0,0.0,0.0,1.23,0.68,0.0
20140101:0710,1286000.0,51.08,10.52,1.53,0.73,0.0
20140101:0810,3225200.0,107.07,18.06,1.82,0.78,0.0
20140101:0910,4810800.0,151.48,23.53,2.11,0.83,0.0
20140101:1010,4638400.0,146.87,26.36,2.18,0.79,0.0
20140101:1110,7732800.0,232.15,26.18,2.25,0.75,0.0
20140101:1210,1756400.0,65.27,23.02,2.31,0.72,0.0
20140101:1310,1033600.0,43.52,17.28,2.45,0.63,0.0
20140101:1410,3185600.0,106.65,9.53,2.58,0.54,0.0
20140101:1510,0.0,0.0,0.0,2.71,0.46,0.0
20140101:1610,0.0,0.0,0.0,2.19,0.61,0.0
20140101:1710,0.0,0.0,0.0,1.68,0.77,0.0
20140101:1810,0.0,0.0,0.0,1.16,0.92,0.0
20140101:1910,0.0,0.0,0.0,0.68,0.95,0.0
20140101:2010,0.0,0.0,0.0,0.21,0.98,0.0
20140101:2110,0.0,0.0,0.0,-0.27,1.01,0.0
20140101:2210,0.0,0.0,0.0,-0.62,0.86,0.0
20140101:2310,0.0,0.0,0.0,-0.97,0.7,0.0
20140102:0010,0.0,0.0,0.0,-1.32,0.55,0.0
20140102:0110,0.0,0.0,0.0,-1.11,0.68,0.0
20140102:0210,0.0,0.0,0.0,-0.89,0.81,0.0
20140102:0310,0.0,0.0,0.0,-0.67,0.94,0.0
20140102:0410,0.0,0.0,0.0,-0.78,0.9,0.0
20140102:0510,0.0,0.0,0.0,-0.88,0.86,0.0
20140102:0610,0.0,0.0,0.0,-0.99,0.81,0.0
20140102:0710,2362000.0,82.27,10.52,0.5,0.65,0.0
20140102:0810,3614000.0,118.1,18.09,1.98,0.48,0.0
20140102:0910,4169200.0,134.66,23.58,3.46,0.32,0.0
20140102:1010,3038000.0,103.11,26.43,4.53,0.45,0.0
20140102:1110,4694400.0,150.66,26.28,5.6,0.57,0.0
20140102:1210,6210800.0,193.62,23.14,6.66,0.7,0.0
20140102:1310,9646400.0,289.39,17.41,6.44,0.79,0.0
20140102:1410,5386000.0,171.05,9.66,6.21,0.88,0.0
20140102:1510,0.0,0.0,0.0,5.98,0.97,0.0
20140102:1610,0.0,0.0,0.0,5.57,1.03,0.0
20140102:1710,0.0,0.0,0.0,5.16,1.09,0.0
20140102:1810,0.0,0.0,0.0,4.75,1.14,0.0
20140102:1910,0.0,0.0,0.0,4.31,1.01,0.0
20140102:2010,0.0,0.0,0.0,3.88,0.87,0.0
20140102:2110,0.0,0.0,0.0,3.44,0.73,0.0
20140102:2210,0.0,0.0,0.0,2.85,0.76,0.0
20140102:2310,0.0,0.0,0.0,2.27,0.8,0.0
20140103:0010,0.0,0.0,0.0,1.69,0.83,0.0
20140103:0110,0.0,0.0,0.0,0.9,0.99,0.0
20140103:0210,0.0,0.0,0.0,0.11,1.15,0.0
20140103:0310,0.0,0.0,0.0,-0.67,1.31,0.0
20140103:0410,0.0,0.0,0.0,-1.34,1.27,0.0
20140103:0510,0.0,0.0,0.0,-2.01,1.24,0.0
20140103:0610,0.0,0.0,0.0,-2.68,1.2,0.0
20140103:0710,12630800.0,369.21,10.54,-0.11,0.88,0.0
20140103:0810,20811600.0,612.15,18.12,2.45,0.57,0.0
20140103:0910,25640000.0,781.15,23.64,5.01,0.25,0.0
20140103:1010,27649600.0,854.17,26.51,6.11,0.34,0.0
20140103:1110,27430800.0,849.6,26.38,7.21,0.43,0.0
20140103:1210,25024000.0,769.07,23.26,8.31,0.52,0.0
20140103:1310,19347200.0,580.59,17.54,7.64,0.74,0.0
20140103:1410,11516800.0,349.46,9.8,6.97,0.96,0.0
20140103:1510,0.0,0.0,0.0,6.3,1.17,0.0
20140103:1610,0.0,0.0,0.0,5.86,1.12,0.0
20140103:1710,0.0,0.0,0.0,5.41,1.06,0.0
20140103:1810,0.0,0.0,0.0,4.97,1.01,0.0
20140103:1910,0.0,0.0,0.0,4.18,1.05,0.0
20140103:2010,0.0,0.0,0.0,3.4,1.09,0.0
20140103:2110,0.0,0.0,0.0,2.61,1.13,0.0
20140103:2210,0.0,0.0,0.0,1.56,1.19,0.0
20140103:2310,0.0,0.0,0.0,0.51,1.25,0.0
20140104:0010,0.0,0.0,0.0,-0.53,1.31,0.0
20140104:0110,0.0,0.0,0.0,-1.47,1.31,0.0
20140104:0210,0.0,0.0,0.0,-2.41,1.32,0.0
20140104:0310,0.0,0.0,0.0,-3.34,1.32,0.0
20140104:0410,0.0,0.0,0.0,-3.49,1.38,0.0
20140104:0510,0.0,0.0,0.0,-3.63,1.43,0.0
20140104:0610,0.0,0.0,0.0,-3.78,1.49,0.0
20140104:0710,13228400.0,384.06,10.56,-1.12,1.12,0.0
20140104:0810,21308800.0,622.95,18.16,1.53,0.75,0.0
20140104:0910,25647200.0,775.52,23.7,4.18,0.39,0.0
20140104:1010,27860000.0,855.74,26.6,5.4,0.46,0.0
20140104:1110,27440000.0,845.35,26.49,6.62,0.52,0.0
20140104:1210,24819200.0,759.16,23.39,7.83,0.59,0.0
20140104:1310,19512400.0,584.74,17.68,7.54,0.83,0.0
20140104:1410,11250000.0,341.54,9.94,7.24,1.06,0.0
20140104:1510,0.0,0.0,0.0,6.95,1.3,0.0
20140104:1610,0.0,0.0,0.0,5.9,1.13,0.0
20140104:1710,0.0,0.0,0.0,4.84,0.97,0.0
20140104:1810,0.0,0.0,0.0,3.79,0.8,0.0
20140104:1910,0.0,0.0,0.0,3.26,0.94,0.0
20140104:2010,0.0,0.0,0.0,2.74,1.09,0.0
20140104:2110,0.0,0.0,0.0,2.21,1.23,0.0
20140104:2210,0.0,0.0,0.0,1.47,1.2,0.0
20140104:2310,0.0,0.0,0.0,0.74,1.18,0.0
20140105:0010,0.0,0.0,0.0,0.01,1.16,0.0
20140105:0110,0.0,0.0,0.0,-0.49,1.23,0.0
20140105:0210,0.0,0.0,0.0,-0.99,1.31,0.0
20140105:0310,0.0,0.0,0.0,-1.48,1.38,0.0
20140105:0410,0.0,0.0,0.0,-1.55,1.2,0.0
20140105:0510,0.0,0.0,0.0,-1.61,1.03,0.0
20140105:0610,0.0,0.0,0.0,-1.67,0.86,0.0
20140105:0710,11894800.0,349.46,10.58,0.31,0.63,0.0
20140105:0810,16895200.0,493.72,18.21,2.29,0.41,0.0
20140105:0910,19369600.0,575.61,23.78,4.26,0.19,0.0
20140105:1010,16494000.0,486.84,26.7,4.84,0.59,0.0
20140105:1110,26094400.0,786.91,26.61,5.42,0.98,0.0
20140105:1210,8038000.0,243.39,23.52,6.0,1.38,0.0
20140105:1310,8446000.0,253.6,17.82,5.36,1.37,0.0
20140105:1410,3084000.0,104.42,10.09,4.72,1.36,0.0
20140105:1510,0.0,0.0,0.0,4.08,1.35,0.0
20140105:1610,0.0,0.0,0.0,4.06,1.26,0.0
20140105:1710,0.0,0.0,0.0,4.05,1.16,0.0
20140105:1810,0.0,0.0,0.0,4.03,1.06,0.0
20140105:1910,0.0,0.0,0.0,4.2,0.81,0.0
20140105:2010,0.0,0.0,0.0,4.38,0.57,0.0
20140105:2110,0.0,0.0,0.0,4.55,0.32,0.0
20140105:2210,0.0,0.0,0.0,4.48,0.26,0.0
20140105:2310,0.0,0.0,0.0,4.42,0.2,0.0
20140106:0010,0.0,0.0,0.0,4.36,0.14,0.0
20140106:0110,0.0,0.0,0.0,4.44,0.37,0.0
20140106:0210,0.0,0.0,0.0,4.53,0.6,0.0
20140106:0310,0.0,0.0,0.0,4.62,0.83,0.0
20140106:0410,0.0,0.0,0.0,4.58,0.84,0.0
20140106:0510,0.0,0.0,0.0,4.54,0.86,0.0
20140106:0610,0.0,0.0,0.0,4.5,0.87,0.0
20140106:0710,196800.0,15.14,10.61,4.65,0.9,0.0
20140106:0810,1420400.0,55.81,18.26,4.8,0.93,0.0
20140106:0910,3633600.0,120.14,23.85,4.94,0.97,0.0
20140106:1010,4096800.0,133.38,26.81,5.22,1.1,0.0
20140106:1110,4260000.0,138.11,26.74,5.49,1.23,0.0
20140106:1210,1570400.0,60.54,23.66,5.76,1.37,0.0
20140106:1310,1354000.0,53.92,17.97,5.47,1.18,0.0
20140106:1410,129200.0,12.3,10.24,5.17,0.99,0.0
20140106:1510,0.0,0.0,0.0,4.87,0.8,0.0
20140106:1610,0.0,0.0,0.0,4.41,0.93,0.0
20140106:1710,0.0,0.0,0.0,3.95,1.06,0.0
20140106:1810,0.0,0.0,0.0,3.49,1.19,0.0
20140106:1910,0.0,0.0,0.0,3.18,1.16,0.0
20140106:2010,0.0,0.0,0.0,2.88,1.13,0.0
20140106:2110,0.0,0.0,0.0,2.57,1.1,0.0
20140106:2210,0.0,0.0,0.0,2.17,1.21,0.0
20140106:2310,0.0,0.0,0.0,1.77,1.31,0.0
20140107:0010,0.0,0.0,0.0,1.37,1.42,0.0
20140107:0110,0.0,0.0,0.0,1.47,1.35,0.0
20140107:0210,0.0,0.0,0.0,1.58,1.28,0.0
20140107:0310,0.0,0.0,0.0,1.69,1.21,0.0
20140107:0410,0.0,0.0,0.0,1.35,1.27,0.0
20140107:0510,0.0,0.0,0.0,1.02,1.32,0.0
20140107:0610,0.0,0.0,0.0,0.69,1.38,0.0
20140107:0710,3134400.0,104.78,10.65,2.26,1.02,0.0
20140107:0810,20564000.0,607.76,18.33,3.82,0.66,0.0
20140107:0910,24994000.0,760.02,23.94,5.38,0.3,0.0
