time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,1.04,1.68,0.0
20140101:0110,0.0,0.0,0.0,1.0,1.62,0.0
20140101:0210,0.0,0.0,0.0,0.95,1.56,0.0
20140101:0310,0.0,0.0,0.0,0.91,1.5,0.0
20140101:0410,0.0,0.0,0.0,0.93,1.48,0.0
20140101:0510,0.0,0.0,0.0,0.96,1.46,0.0
20140101:0610,244800.0,13.58,2.62,0.98,1.43,0.0
20140101:0710,3049200.0,73.31,11.38,2.36,1.4,0.0
20140101:0810,11063400.0,222.31,18.55,3.74,1.36,0.0
20140101:0910,6448200.0,138.82,23.56,5.12,1.32,0.0
20140101:1010,8074800.0,169.63,25.89,5.65,1.27,0.0
20140101:1110,7957800.0,167.83,25.23,6.17,1.21,0.0
20140101:1210,6433200.0,139.43,21.68,6.69,1.16,0.0
20140101:1310,5236800.0,116.32,15.66,6.23,1.28,0.0
20140101:1410,2890200.0,71.54,7.74,5.78,1.4,0.0
20140101:1510,0.0,0.0,0.0,5.32,1.52,0.0
20140101:1610,0.0,0.0,0.0,4.82,1.42,0.0
20140101:1710,0.0,0.0,0.0,4.32,1.31,0.0
20140101:1810,0.0,0.0,0.0,3.82,1.21,0.0
20140101:1910,0.0,0.0,0.0,3.57,1.21,0.0
20140101:2010,0.0,0.0,0.0,3.32,1.21,0.0
20140101:2110,0.0,0.0,0.0,3.07,1.21,0.0
20140101:2210,0.0,0.0,0.0,3.02,1.26,0.0
20140101:2310,0.0,0.0,0.0,2.98,1.31,0.0
20140102:0010,0.0,0.0,0.0,2.93,1.37,0.0
20140102:0110,0.0,0.0,0.0,2.67,1.21,0.0
20140102:0210,0.0,0.0,0.0,2.42,1.05,0.0
20140102:0310,0.0,0.0,0.0,2.16,0.9,0.0
20140102:0410,0.0,0.0,0.0,2.13,0.83,0.0
20140102:0510,0.0,0.0,0.0,2.09,0.76,0.0
20140102:0610,0.0,1.81,2.61,2.06,0.69,0.0
20140102:0710,340800.0,16.29,11.39,3.55,0.79,0.0
20140102:0810,10354200.0,210.87,18.58,5.04,0.89,0.0
20140102:0910,9082800.0,188.98,23.62,6.52,0.99,0.0
20140102:1010,10480800.0,215.84,25.97,7.04,0.91,0.0
20140102:1110,9769200.0,202.97,25.33,7.56,0.82,0.0
20140102:1210,11223000.0,230.39,21.8,8.08,0.73,0.0
20140102:1310,6415800.0,139.37,15.79,7.54,0.72,0.0
20140102:1410,3587400.0,85.82,7.87,7.0,0.71,0.0
20140102:1510,0.0,0.0,0.0,6.46,0.7,0.0
20140102:1610,0.0,0.0,0.0,5.99,0.72,0.0
20140102:1710,0.0,0.0,0.0,5.51,0.73,0.0
20140102:1810,0.0,0.0,0.0,5.04,0.74,0.0
20140102:1910,0.0,0.0,0.0,4.86,0.63,0.0
20140102:2010,0.0,0.0,0.0,4.67,0.51,0.0
20140102:2110,0.0,0.0,0.0,4.49,0.39,0.0
20140102:2210,0.0,0.0,0.0,4.44,0.53,0.0
20140102:2310,0.0,0.0,0.0,4.39,0.67,0.0
20140103:0010,0.0,0.0,0.0,4.34,0.81,0.0
20140103:0110,0.0,0.0,0.0,3.69,0.9,0.0
20140103:0210,0.0,0.0,0.0,3.05,0.98,0.0
20140103:0310,0.0,0.0,0.0,2.4,1.06,0.0
20140103:0410,0.0,0.0,0.0,2.28,0.92,0.0
20140103:0510,0.0,0.0,0.0,2.16,0.79,0.0
20140103:0610,211200.0,12.67,2.61,2.04,0.65,0.0
20140103:0710,3118200.0,75.12,11.41,3.75,0.66,0.0
20140103:0810,16351200.0,323.85,18.62,5.47,0.68,0.0
20140103:0910,23368800.0,463.67,23.68,7.18,0.69,0.0
20140103:1010,29071800.0,582.77,26.05,7.79,0.61,0.0
20140103:1110,26412600.0,529.63,25.44,8.39,0.52,0.0
20140103:1210,25476600.0,511.96,21.92,8.99,0.44,0.0
20140103:1310,24475800.0,491.14,15.92,8.47,0.5,0.0
20140103:1410,10821600.0,227.25,8.01,7.96,0.56,0.0
20140103:1510,0.0,0.0,0.0,7.44,0.62,0.0
20140103:1610,0.0,0.0,0.0,6.92,0.46,0.0
20140103:1710,0.0,0.0,0.0,6.4,0.29,0.0
20140103:1810,0.0,0.0,0.0,5.88,0.12,0.0
20140103:1910,0.0,0.0,0.0,5.45,0.22,0.0
20140103:2010,0.0,0.0,0.0,5.01,0.32,0.0
20140103:2110,0.0,0.0,0.0,4.58,0.41,0.0
20140103:2210,0.0,0.0,0.0,4.31,0.47,0.0
20140103:2310,0.0,0.0,0.0,4.03,0.53,0.0
20140104:0010,0.0,0.0,0.0,3.76,0.59,0.0
20140104:0110,0.0,0.0,0.0,3.2,0.76,0.0
20140104:0210,0.0,0.0,0.0,2.64,0.92,0.0
20140104:0310,0.0,0.0,0.0,2.08,1.09,0.0
20140104:0410,0.0,0.0,0.0,1.95,0.95,0.0
20140104:0510,0.0,0.0,0.0,1.81,0.8,0.0
20140104:0610,211800.0,12.67,2.61,1.68,0.66,0.0
20140104:0710,2023800.0,53.4,11.43,3.48,0.58,0.0
20140104:0810,30117000.0,598.09,18.66,5.28,0.51,0.0
20140104:0910,35788800.0,726.91,23.75,7.07,0.43,0.0
20140104:1010,40334400.0,829.45,26.15,7.75,0.63,0.0
20140104:1110,39055800.0,799.56,25.56,8.43,0.83,0.0
20140104:1210,34654200.0,701.36,22.05,9.1,1.03,0.0
20140104:1310,25226400.0,503.92,16.06,8.57,0.97,0.0
20140104:1410,10774200.0,225.89,8.15,8.03,0.91,0.0
20140104:1510,0.0,0.0,0.0,7.5,0.86,0.0
20140104:1610,0.0,0.0,0.0,6.83,0.65,0.0
20140104:1710,0.0,0.0,0.0,6.16,0.44,0.0
20140104:1810,0.0,0.0,0.0,5.49,0.23,0.0
20140104:1910,0.0,0.0,0.0,5.2,0.29,0.0
20140104:2010,0.0,0.0,0.0,4.9,0.34,0.0
20140104:2110,0.0,0.0,0.0,4.61,0.39,0.0
20140104:2210,0.0,0.0,0.0,4.54,0.38,0.0
20140104:2310,0.0,0.0,0.0,4.48,0.37,0.0
20140105:0010,0.0,0.0,0.0,4.41,0.36,0.0
20140105:0110,0.0,0.0,0.0,4.23,0.4,0.0
20140105:0210,0.0,0.0,0.0,4.04,0.44,0.0
20140105:0310,0.0,0.0,0.0,3.86,0.48,0.0
20140105:0410,0.0,0.0,0.0,3.85,0.53,0.0
20140105:0510,0.0,0.0,0.0,3.85,0.57,0.0
20140105:0610,177600.0,11.77,2.63,3.84,0.62,0.0
20140105:0710,3234600.0,77.84,11.46,5.23,0.67,0.0
20140105:0810,9961800.0,205.17,18.71,6.62,0.71,0.0
20140105:0910,17882400.0,357.28,23.82,8.0,0.76,0.0
20140105:1010,7363800.0,158.53,26.25,8.59,0.88,0.0
20140105:1110,11356200.0,234.23,25.68,9.18,1.0,0.0
20140105:1210,11747400.0,241.65,22.19,9.76,1.12,0.0
20140105:1310,2643000.0,67.16,16.2,9.07,1.04,0.0
20140105:1410,1491000.0,43.27,8.29,8.37,0.97,0.0
