time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,7.79,1.38,0.0
20140101:0110,0.0,0.0,0.0,7.98,1.33,0.0
20140101:0210,0.0,0.0,0.0,8.16,1.29,0.0
20140101:0310,0.0,0.0,0.0,8.34,1.24,0.0
20140101:0410,0.0,0.0,0.0,8.26,1.27,0.0
20140101:0510,0.0,0.0,0.0,8.18,1.31,0.0
20140101:0610,0.0,0.0,0.0,8.1,1.34,0.0
20140101:0710,2113240.0,40.73,10.86,7.87,1.2,0.0
20140101:0810,4081120.0,67.16,18.2,7.65,1.05,0.0
20140101:0910,3652400.0,61.49,23.43,7.42,0.91,0.0
20140101:1010,8938720.0,128.65,26.0,7.41,0.86,0.0
20140101:1110,6748200.0,101.22,25.58,7.39,0.82,0.0
20140101:1210,18868280.0,249.99,22.24,7.38,0.77,0.0
20140101:1310,6624920.0,99.75,16.37,7.83,0.7,0.0
20140101:1410,1706600.0,35.0,8.55,8.27,0.63,0.0
20140101:1510,0.0,0.0,0.0,8.72,0.57,0.0
20140101:1610,0.0,0.0,0.0,8.79,0.54,0.0
20140101:1710,0.0,0.0,0.0,8.85,0.52,0.0
20140101:1810,0.0,0.0,0.0,8.91,0.5,0.0
20140101:1910,0.0,0.0,0.0,8.77,0.55,0.0
20140101:2010,0.0,0.0,0.0,8.63,0.6,0.0
20140101:2110,0.0,0.0,0.0,8.48,0.65,0.0
20140101:2210,0.0,0.0,0.0,8.17,0.82,0.0
20140101:2310,0.0,0.0,0.0,7.86,1.0,0.0
20140102:0010,0.0,0.0,0.0,7.55,1.17,0.0
20140102:0110,0.0,0.0,0.0,8.0,1.12,0.0
20140102:0210,0.0,0.0,0.0,8.45,1.06,0.0
20140102:0310,0.0,0.0,0.0,8.89,1.01,0.0
20140102:0410,0.0,0.0,0.0,8.82,1.12,0.0
20140102:0510,0.0,0.0,0.0,8.74,1.24,0.0
20140102:0610,0.0,0.0,0.0,8.66,1.35,0.0
20140102:0710,3428840.0,58.83,10.87,8.69,0.98,0.0
20140102:0810,6600080.0,99.87,18.23,8.72,0.62,0.0
20140102:0910,20679760.0,274.96,23.48,8.75,0.25,0.0
20140102:1010,7202680.0,107.84,26.08,9.24,0.45,0.0
20140102:1110,17602360.0,237.55,25.68,9.73,0.64,0.0
20140102:1210,14882840.0,203.78,22.35,10.22,0.84,0.0
20140102:1310,11724480.0,164.29,16.5,10.33,0.96,0.0
20140102:1410,3540160.0,60.81,8.68,10.43,1.07,0.0
20140102:1510,0.0,0.0,0.0,10.54,1.19,0.0
20140102:1610,0.0,0.0,0.0,10.54,0.87,0.0
20140102:1710,0.0,0.0,0.0,10.54,0.55,0.0
20140102:1810,0.0,0.0,0.0,10.54,0.23,0.0
20140102:1910,0.0,0.0,0.0,10.08,0.49,0.0
20140102:2010,0.0,0.0,0.0,9.62,0.74,0.0
20140102:2110,0.0,0.0,0.0,9.16,0.99,0.0
20140102:2210,0.0,0.0,0.0,8.43,1.05,0.0
20140102:2310,0.0,0.0,0.0,7.7,1.1,0.0
20140103:0010,0.0,0.0,0.0,6.97,1.16,0.0
20140103:0110,0.0,0.0,0.0,5.61,1.18,0.0
20140103:0210,0.0,0.0,0.0,4.24,1.2,0.0
20140103:0310,0.0,0.0,0.0,2.87,1.21,0.0
20140103:0410,0.0,0.0,0.0,2.77,1.17,0.0
20140103:0510,0.0,0.0,0.0,2.67,1.12,0.0
20140103:0610,0.0,0.0,0.0,2.57,1.08,0.0
20140103:0710,4333200.0,69.69,10.89,4.8,0.78,0.0
20140103:0810,38213120.0,495.97,18.27,7.03,0.48,0.0
20140103:0910,42822320.0,566.26,23.54,9.25,0.18,0.0
20140103:1010,58488080.0,793.31,26.16,10.23,0.45,0.0
20140103:1110,58697840.0,795.81,25.79,11.2,0.71,0.0
20140103:1210,52928520.0,710.27,22.47,12.18,0.98,0.0
20140103:1310,34098880.0,450.96,16.63,12.3,1.06,0.0
20140103:1410,20194000.0,276.79,8.82,12.42,1.14,0.0
20140103:1510,0.0,0.0,0.0,12.54,1.23,0.0
20140103:1610,0.0,0.0,0.0,12.13,0.97,0.0
20140103:1710,0.0,0.0,0.0,11.72,0.7,0.0
20140103:1810,0.0,0.0,0.0,11.31,0.44,0.0
20140103:1910,0.0,0.0,0.0,9.6,0.57,0.0
20140103:2010,0.0,0.0,0.0,7.89,0.7,0.0
20140103:2110,0.0,0.0,0.0,6.18,0.83,0.0
20140103:2210,0.0,0.0,0.0,5.36,0.97,0.0
20140103:2310,0.0,0.0,0.0,4.54,1.12,0.0
20140104:0010,0.0,0.0,0.0,3.71,1.27,0.0
20140104:0110,0.0,0.0,0.0,3.06,1.36,0.0
20140104:0210,0.0,0.0,0.0,2.41,1.44,0.0
20140104:0310,0.0,0.0,0.0,1.76,1.53,0.0
20140104:0410,0.0,0.0,0.0,1.79,1.45,0.0
20140104:0510,0.0,0.0,0.0,1.81,1.37,0.0
20140104:0610,0.0,0.0,0.0,1.83,1.28,0.0
20140104:0710,2959640.0,51.59,10.91,4.0,0.93,0.0
20140104:0810,45415800.0,589.76,18.31,6.17,0.58,0.0
20140104:0910,55039000.0,737.06,23.61,8.33,0.23,0.0
20140104:1010,60043800.0,815.59,26.25,9.4,0.33,0.0
20140104:1110,59595760.0,811.52,25.9,10.47,0.42,0.0
