time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,3.49,1.39,0.0
20140101:0110,0.0,0.0,0.0,3.45,1.3,0.0
20140101:0210,0.0,0.0,0.0,3.41,1.2,0.0
20140101:0310,0.0,0.0,0.0,3.37,1.1,0.0
20140101:0410,0.0,0.0,0.0,3.19,0.96,0.0
20140101:0510,0.0,0.0,0.0,3.01,0.82,0.0
20140101:0610,0.0,0.0,0.0,2.82,0.68,0.0
20140101:0710,2785200.0,26.49,10.56,3.29,0.73,0.0
20140101:0810,9592000.0,65.27,18.1,3.77,0.78,0.0
20140101:0910,44719400.0,244.72,23.56,4.24,0.83,0.0
20140101:1010,21322400.0,126.76,26.37,4.3,0.79,0.0
20140101:1110,37738800.0,210.08,26.18,4.36,0.75,0.0
20140101:1210,9737200.0,66.22,23.01,4.42,0.72,0.0
20140101:1310,6626400.0,49.19,17.26,4.58,0.63,0.0
20140101:1410,23568600.0,139.0,9.5,4.75,0.54,0.0
20140101:1510,0.0,0.0,0.0,4.92,0.46,0.0
20140101:1610,0.0,0.0,0.0,4.25,0.61,0.0
20140101:1710,0.0,0.0,0.0,3.58,0.77,0.0
20140101:1810,0.0,0.0,0.0,2.91,0.92,0.0
20140101:1910,0.0,0.0,0.0,2.36,0.95,0.0
20140101:2010,0.0,0.0,0.0,1.81,0.98,0.0
20140101:2110,0.0,0.0,0.0,1.25,1.01,0.0
20140101:2210,0.0,0.0,0.0,1.09,0.86,0.0
20140101:2310,0.0,0.0,0.0,0.93,0.7,0.0
20140102:0010,0.0,0.0,0.0,0.76,0.55,0.0
20140102:0110,0.0,0.0,0.0,0.84,0.68,0.0
20140102:0210,0.0,0.0,0.0,0.91,0.81,0.0
20140102:0310,0.0,0.0,0.0,0.98,0.94,0.0
20140102:0410,0.0,0.0,0.0,0.86,0.9,0.0
20140102:0510,0.0,0.0,0.0,0.73,0.86,0.0
20140102:0610,0.0,0.0,0.0,0.6,0.81,0.0
20140102:0710,13061400.0,83.21,10.57,2.26,0.65,0.0
20140102:0810,19507400.0,117.13,18.13,3.93,0.48,0.0
20140102:0910,21419200.0,128.02,23.61,5.59,0.32,0.0
20140102:1010,15642000.0,98.38,26.45,6.65,0.45,0.0
