time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,7.91,2.43,0.0
20140101:0110,0.0,0.0,0.0,7.96,2.86,0.0
20140101:0210,0.0,0.0,0.0,8.01,3.29,0.0
20140101:0310,0.0,0.0,0.0,8.05,3.72,0.0
20140101:0410,0.0,0.0,0.0,7.98,3.73,0.0
20140101:0510,0.0,0.0,0.0,7.91,3.73,0.0
20140101:0610,270400.0,12.67,2.96,7.84,3.74,0.0
20140101:0710,1428800.0,34.06,12.1,8.43,3.83,0.0
20140101:0810,1036800.0,27.43,19.67,9.02,3.92,0.0
20140101:0910,11077600.0,175.79,25.08,9.61,4.01,0.0
20140101:1010,6883200.0,116.36,27.74,9.43,3.56,0.0
20140101:1110,3216000.0,62.43,27.29,9.26,3.1,0.0
20140101:1210,3404800.0,65.27,23.8,9.09,2.65,0.0
20140101:1310,824800.0,23.65,17.72,9.05,2.8,0.0
20140101:1410,210400.0,11.35,9.65,9.02,2.95,0.0
20140101:1510,0.0,0.0,0.0,8.99,3.1,0.0
20140101:1610,0.0,0.0,0.0,8.62,2.94,0.0
20140101:1710,0.0,0.0,0.0,8.25,2.78,0.0
20140101:1810,0.0,0.0,0.0,7.88,2.62,0.0
20140101:1910,0.0,0.0,0.0,7.84,2.37,0.0
20140101:2010,0.0,0.0,0.0,7.79,2.11,0.0
20140101:2110,0.0,0.0,0.0,7.74,1.86,0.0
20140101:2210,0.0,0.0,0.0,7.84,1.94,0.0
20140101:2310,0.0,0.0,0.0,7.94,2.01,0.0
20140102:0010,0.0,0.0,0.0,8.04,2.08,0.0
20140102:0110,0.0,0.0,0.0,8.07,2.29,0.0
20140102:0210,0.0,0.0,0.0,8.1,2.5,0.0
20140102:0310,0.0,0.0,0.0,8.12,2.7,0.0
20140102:0410,0.0,0.0,0.0,8.02,2.52,0.0
20140102:0510,0.0,0.0,0.0,7.92,2.34,0.0
20140102:0610,312000.0,13.58,2.94,7.82,2.17,0.0
20140102:0710,8344800.0,136.88,12.1,8.75,2.26,0.0
20140102:0810,17375200.0,264.28,19.69,9.68,2.36,0.0
20140102:0910,15811200.0,243.81,25.13,10.62,2.46,0.0
20140102:1010,16433600.0,253.54,27.82,10.85,2.13,0.0
20140102:1110,6873600.0,117.3,27.39,11.08,1.8,0.0
20140102:1210,7402400.0,125.12,23.92,11.32,1.48,0.0
20140102:1310,4998400.0,89.87,17.85,11.25,1.47,0.0
20140102:1410,2471200.0,51.42,9.78,11.19,1.46,0.0
20140102:1510,0.0,0.0,0.0,11.13,1.45,0.0
20140102:1610,0.0,0.0,0.0,10.39,1.33,0.0
20140102:1710,0.0,0.0,0.0,9.65,1.22,0.0
20140102:1810,0.0,0.0,0.0,8.9,1.1,0.0
20140102:1910,0.0,0.0,0.0,8.83,0.84,0.0
20140102:2010,0.0,0.0,0.0,8.75,0.58,0.0
20140102:2110,0.0,0.0,0.0,8.68,0.32,0.0
20140102:2210,0.0,0.0,0.0,8.75,0.38,0.0
20140102:2310,0.0,0.0,0.0,8.82,0.44,0.0
20140103:0010,0.0,0.0,0.0,8.89,0.5,0.0
20140103:0110,0.0,0.0,0.0,8.09,0.67,0.0
20140103:0210,0.0,0.0,0.0,7.28,0.84,0.0
20140103:0310,0.0,0.0,0.0,6.47,1.01,0.0
20140103:0410,0.0,0.0,0.0,5.84,1.17,0.0
20140103:0510,0.0,0.0,0.0,5.21,1.33,0.0
20140103:0610,406400.0,15.39,2.94,4.59,1.49,0.0
20140103:0710,25516800.0,382.44,12.12,7.04,1.24,0.0
20140103:0810,39794400.0,600.8,19.73,9.49,0.99,0.0
20140103:0910,46944800.0,728.25,25.19,11.95,0.74,0.0
20140103:1010,50042400.0,781.2,27.9,12.61,0.96,0.0
20140103:1110,51137600.0,799.44,27.5,13.27,1.18,0.0
20140103:1210,45315200.0,700.57,24.04,13.94,1.39,0.0
20140103:1310,35177600.0,537.45,17.98,13.45,1.36,0.0
20140103:1410,19587200.0,306.65,9.92,12.97,1.32,0.0
