time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,5.7,0.79,0.0
20140101:0110,0.0,0.0,0.0,5.94,0.88,0.0
20140101:0210,0.0,0.0,0.0,6.19,0.98,0.0
20140101:0310,0.0,0.0,0.0,6.43,1.08,0.0
20140101:0410,0.0,0.0,0.0,6.29,1.09,0.0
20140101:0510,0.0,0.0,0.0,6.14,1.11,0.0
20140101:0610,6400.0,5.68,2.29,6.0,1.13,0.0
20140101:0710,2430400.0,30.27,11.46,6.58,1.31,0.0
20140101:0810,4040000.0,43.52,19.09,7.17,1.5,0.0
20140101:0910,5480000.0,54.87,24.59,7.76,1.68,0.0
20140101:1010,9388800.0,84.19,27.39,7.95,1.72,0.0
20140101:1110,8483200.0,77.57,27.11,8.13,1.77,0.0
20140101:1210,10795200.0,94.6,23.79,8.32,1.81,0.0
20140101:1310,2630400.0,32.16,17.86,8.32,1.8,0.0
20140101:1410,424000.0,11.35,9.92,8.33,1.79,0.0
20140101:1510,0.0,0.0,0.0,8.33,1.78,0.0
20140101:1610,0.0,0.0,0.0,7.72,1.41,0.0
20140101:1710,0.0,0.0,0.0,7.11,1.03,0.0
20140101:1810,0.0,0.0,0.0,6.49,0.66,0.0
20140101:1910,0.0,0.0,0.0,6.14,0.68,0.0
20140101:2010,0.0,0.0,0.0,5.79,0.7,0.0
20140101:2110,0.0,0.0,0.0,5.44,0.72,0.0
20140101:2210,0.0,0.0,0.0,5.26,0.87,0.0
20140101:2310,0.0,0.0,0.0,5.07,1.02,0.0
20140102:0010,0.0,0.0,0.0,4.89,1.17,0.0
20140102:0110,0.0,0.0,0.0,5.19,1.06,0.0
20140102:0210,0.0,0.0,0.0,5.49,0.95,0.0
20140102:0310,0.0,0.0,0.0,5.79,0.84,0.0
20140102:0410,0.0,0.0,0.0,5.64,0.96,0.0
20140102:0510,0.0,0.0,0.0,5.48,1.07,0.0
20140102:0610,200000.0,8.51,2.28,5.33,1.19,0.0
20140102:0710,13905600.0,116.33,11.46,6.62,1.0,0.0
20140102:0810,26430400.0,205.34,19.11,7.92,0.82,0.0
20140102:0910,24211200.0,191.49,24.64,9.22,0.63,0.0
20140102:1010,15596800.0,130.55,27.46,10.15,0.74,0.0
20140102:1110,21252800.0,171.89,27.21,11.07,0.85,0.0
20140102:1210,20592000.0,167.51,23.91,12.0,0.95,0.0
20140102:1310,20980800.0,169.68,17.99,11.97,1.17,0.0
20140102:1410,9016000.0,82.87,10.05,11.93,1.38,0.0
20140102:1510,0.0,0.0,0.0,11.9,1.6,0.0
20140102:1610,0.0,0.0,0.0,11.05,1.29,0.0
20140102:1710,0.0,0.0,0.0,10.2,0.97,0.0
20140102:1810,0.0,0.0,0.0,9.34,0.66,0.0
20140102:1910,0.0,0.0,0.0,8.91,0.69,0.0
20140102:2010,0.0,0.0,0.0,8.48,0.73,0.0
20140102:2110,0.0,0.0,0.0,8.05,0.76,0.0
20140102:2210,0.0,0.0,0.0,7.68,0.75,0.0
20140102:2310,0.0,0.0,0.0,7.3,0.75,0.0
20140103:0010,0.0,0.0,0.0,6.93,0.74,0.0
20140103:0110,0.0,0.0,0.0,5.7,0.81,0.0
20140103:0210,0.0,0.0,0.0,4.48,0.88,0.0
20140103:0310,0.0,0.0,0.0,3.25,0.95,0.0
20140103:0410,0.0,0.0,0.0,2.98,1.0,0.0
20140103:0510,0.0,0.0,0.0,2.71,1.05,0.0
20140103:0610,204800.0,8.51,2.27,2.44,1.1,0.0
20140103:0710,23755200.0,185.15,11.48,5.19,0.86,0.0
20140103:0810,43073600.0,323.94,19.14,7.94,0.62,0.0
20140103:0910,71793600.0,547.51,24.7,10.7,0.37,0.0
20140103:1010,104643200.0,824.89,27.55,11.92,0.54,0.0
20140103:1110,106612800.0,844.55,27.31,13.13,0.7,0.0
20140103:1210,94729600.0,742.76,24.03,14.35,0.87,0.0
20140103:1310,74169600.0,571.52,18.12,13.96,0.96,0.0
20140103:1410,41848000.0,327.7,10.19,13.56,1.04,0.0
20140103:1510,0.0,0.0,0.0,13.17,1.13,0.0
