time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,2.77,0.94,0.0
20140101:0110,0.0,0.0,0.0,2.73,0.8,0.0
20140101:0210,0.0,0.0,0.0,2.68,0.67,0.0
20140101:0310,0.0,0.0,0.0,2.64,0.54,0.0
20140101:0410,0.0,0.0,0.0,2.66,0.57,0.0
20140101:0510,0.0,0.0,0.0,2.69,0.61,0.0
20140101:0610,51200.0,8.51,2.58,2.71,0.65,0.0
20140101:0710,2685600.0,92.62,11.34,3.9,0.56,0.0
20140101:0810,5761600.0,179.57,18.49,5.09,0.47,0.0
20140101:0910,5145600.0,163.75,23.5,6.27,0.39,0.0
20140101:1010,3696400.0,122.98,25.83,6.74,0.5,0.0
20140101:1110,8723200.0,265.14,25.17,7.21,0.61,0.0
20140101:1210,4414400.0,143.7,21.63,7.68,0.72,0.0
20140101:1310,3180000.0,108.11,15.62,7.37,0.83,0.0
20140101:1410,888400.0,39.68,7.7,7.06,0.95,0.0
20140101:1510,0.0,0.0,0.0,6.75,1.06,0.0
20140101:1610,0.0,0.0,0.0,6.35,0.92,0.0
20140101:1710,0.0,0.0,0.0,5.95,0.79,0.0
20140101:1810,0.0,0.0,0.0,5.55,0.65,0.0
20140101:1910,0.0,0.0,0.0,5.3,0.44,0.0
20140101:2010,0.0,0.0,0.0,5.05,0.23,0.0
20140101:2110,0.0,0.0,0.0,4.8,0.01,0.0
20140101:2210,0.0,0.0,0.0,4.75,0.21,0.0
20140101:2310,0.0,0.0,0.0,4.71,0.41,0.0
20140102:0010,0.0,0.0,0.0,4.66,0.61,0.0
20140102:0110,0.0,0.0,0.0,4.4,0.48,0.0
20140102:0210,0.0,0.0,0.0,4.15,0.35,0.0
20140102:0310,0.0,0.0,0.0,3.89,0.22,0.0
20140102:0410,0.0,0.0,0.0,3.86,0.26,0.0
20140102:0510,0.0,0.0,0.0,3.82,0.29,0.0
20140102:0610,0.0,1.89,2.57,3.79,0.33,0.0
20140102:0710,173200.0,14.19,11.35,5.08,0.34,0.0
20140102:0810,12290000.0,366.23,18.53,6.38,0.34,0.0
20140102:0910,13698000.0,410.17,23.56,7.67,0.34,0.0
20140102:1010,19724400.0,596.13,25.91,8.14,0.44,0.0
20140102:1110,20818400.0,631.54,25.27,8.6,0.54,0.0
20140102:1210,21745600.0,661.6,21.74,9.07,0.63,0.0
20140102:1310,12295200.0,370.35,15.74,8.68,0.49,0.0
20140102:1410,7004400.0,221.82,7.83,8.29,0.35,0.0
20140102:1510,0.0,0.0,0.0,7.89,0.21,0.0
20140102:1610,0.0,0.0,0.0,7.52,0.41,0.0
20140102:1710,0.0,0.0,0.0,7.15,0.61,0.0
20140102:1810,0.0,0.0,0.0,6.77,0.81,0.0
20140102:1910,0.0,0.0,0.0,6.59,0.59,0.0
20140102:2010,0.0,0.0,0.0,6.4,0.36,0.0
20140102:2110,0.0,0.0,0.0,6.22,0.14,0.0
20140102:2210,0.0,0.0,0.0,6.17,0.16,0.0
20140102:2310,0.0,0.0,0.0,6.12,0.18,0.0
20140103:0010,0.0,0.0,0.0,6.07,0.21,0.0
20140103:0110,0.0,0.0,0.0,5.42,0.38,0.0
20140103:0210,0.0,0.0,0.0,4.78,0.56,0.0
20140103:0310,0.0,0.0,0.0,4.13,0.73,0.0
20140103:0410,0.0,0.0,0.0,4.01,0.66,0.0
20140103:0510,0.0,0.0,0.0,3.89,0.59,0.0
20140103:0610,32800.0,7.57,2.57,3.77,0.52,0.0
20140103:0710,2520800.0,88.42,11.36,5.29,0.44,0.0
20140103:0810,3972800.0,130.66,18.56,6.81,0.35,0.0
20140103:0910,6282800.0,197.46,23.62,8.33,0.26,0.0
20140103:1010,6324000.0,199.15,25.99,8.88,0.46,0.0
20140103:1110,11004000.0,333.43,25.38,9.43,0.65,0.0
20140103:1210,13448800.0,405.04,21.87,9.98,0.84,0.0
20140103:1310,17071200.0,515.96,15.87,9.61,0.71,0.0
20140103:1410,8450400.0,265.29,7.97,9.24,0.58,0.0
20140103:1510,0.0,0.0,0.0,8.87,0.46,0.0
20140103:1610,0.0,0.0,0.0,8.45,0.4,0.0
20140103:1710,0.0,0.0,0.0,8.03,0.34,0.0
20140103:1810,0.0,0.0,0.0,7.61,0.29,0.0
20140103:1910,0.0,0.0,0.0,7.18,0.28,0.0
20140103:2010,0.0,0.0,0.0,6.74,0.27,0.0
20140103:2110,0.0,0.0,0.0,6.31,0.26,0.0
20140103:2210,0.0,0.0,0.0,6.04,0.23,0.0
20140103:2310,0.0,0.0,0.0,5.76,0.19,0.0
20140104:0010,0.0,0.0,0.0,5.49,0.15,0.0
20140104:0110,0.0,0.0,0.0,4.93,0.4,0.0
20140104:0210,0.0,0.0,0.0,4.37,0.65,0.0
20140104:0310,0.0,0.0,0.0,3.81,0.9,0.0
20140104:0410,0.0,0.0,0.0,3.68,0.81,0.0
20140104:0510,0.0,0.0,0.0,3.54,0.73,0.0
20140104:0610,930000.0,43.01,2.58,3.41,0.65,0.0
20140104:0710,8910000.0,269.24,11.38,5.01,0.56,0.0
20140104:0810,16154400.0,480.95,18.61,6.62,0.47,0.0
20140104:0910,22121600.0,674.17,23.69,8.22,0.39,0.0
20140104:1010,26201600.0,811.08,26.09,8.85,0.61,0.0
20140104:1110,25955200.0,801.33,25.5,9.47,0.83,0.0
20140104:1210,23239600.0,709.28,22.0,10.09,1.05,0.0
20140104:1310,17557200.0,529.06,16.01,9.7,1.06,0.0
20140104:1410,8659600.0,270.71,8.11,9.32,1.07,0.0
20140104:1510,0.0,0.0,0.0,8.93,1.08,0.0
20140104:1610,0.0,0.0,0.0,8.36,0.91,0.0
20140104:1710,0.0,0.0,0.0,7.79,0.74,0.0
20140104:1810,0.0,0.0,0.0,7.22,0.58,0.0
20140104:1910,0.0,0.0,0.0,6.93,0.53,0.0
20140104:2010,0.0,0.0,0.0,6.63,0.49,0.0
20140104:2110,0.0,0.0,0.0,6.34,0.44,0.0
20140104:2210,0.0,0.0,0.0,6.27,0.44,0.0
20140104:2310,0.0,0.0,0.0,6.21,0.43,0.0
20140105:0010,0.0,0.0,0.0,6.14,0.43,0.0
20140105:0110,0.0,0.0,0.0,5.96,0.51,0.0
20140105:0210,0.0,0.0,0.0,5.77,0.59,0.0
20140105:0310,0.0,0.0,0.0,5.59,0.68,0.0
20140105:0410,0.0,0.0,0.0,5.58,0.72,0.0
20140105:0510,0.0,0.0,0.0,5.58,0.76,0.0
20140105:0610,49600.0,8.51,2.59,5.57,0.8,0.0
20140105:0710,2782000.0,96.46,11.41,6.76,0.76,0.0
20140105:0810,2055600.0,75.68,18.66,7.96,0.72,0.0
20140105:0910,4977200.0,160.75,23.76,9.15,0.68,0.0
20140105:1010,2740000.0,96.49,26.19,9.69,0.76,0.0
20140105:1110,6152000.0,195.08,25.62,10.22,0.85,0.0
