time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,4.15,1.41,0.0
20140101:0110,0.0,0.0,0.0,4.18,1.24,0.0
20140101:0210,0.0,0.0,0.0,4.2,1.08,0.0
20140101:0310,0.0,0.0,0.0,4.22,0.91,0.0
20140101:0410,0.0,0.0,0.0,4.04,0.89,0.0
20140101:0510,0.0,0.0,0.0,3.86,0.87,0.0
20140101:0610,0.0,0.0,0.0,3.68,0.86,0.0
20140101:0710,517800.0,20.81,10.66,3.98,0.71,0.0
20140101:0810,5079000.0,112.77,18.17,4.28,0.56,0.0
20140101:0910,7021200.0,149.57,23.59,4.58,0.41,0.0
20140101:1010,1990800.0,52.97,26.36,4.65,0.29,0.0
20140101:1110,4846800.0,108.79,26.12,4.73,0.17,0.0
20140101:1210,4497000.0,102.17,22.91,4.8,0.04,0.0
20140101:1310,631800.0,23.65,17.14,4.99,0.08,0.0
20140101:1410,1438800.0,41.63,9.36,5.18,0.12,0.0
20140101:1510,0.0,0.0,0.0,5.38,0.17,0.0
20140101:1610,0.0,0.0,0.0,4.86,0.3,0.0
20140101:1710,0.0,0.0,0.0,4.34,0.43,0.0
20140101:1810,0.0,0.0,0.0,3.82,0.57,0.0
20140101:1910,0.0,0.0,0.0,3.37,0.4,0.0
20140101:2010,0.0,0.0,0.0,2.92,0.23,0.0
20140101:2110,0.0,0.0,0.0,2.47,0.06,0.0
20140101:2210,0.0,0.0,0.0,2.3,0.25,0.0
20140101:2310,0.0,0.0,0.0,2.13,0.44,0.0
20140102:0010,0.0,0.0,0.0,1.96,0.63,0.0
20140102:0110,0.0,0.0,0.0,2.4,0.57,0.0
20140102:0210,0.0,0.0,0.0,2.83,0.51,0.0
20140102:0310,0.0,0.0,0.0,3.26,0.44,0.0
20140102:0410,0.0,0.0,0.0,3.07,0.53,0.0
20140102:0510,0.0,0.0,0.0,2.88,0.63,0.0
20140102:0610,0.0,0.0,0.0,2.69,0.72,0.0
20140102:0710,3531000.0,83.11,10.66,3.82,0.64,0.0
20140102:0810,4482000.0,101.76,18.19,4.95,0.56,0.0
20140102:0910,5314200.0,118.25,23.64,6.08,0.48,0.0
20140102:1010,4116000.0,95.54,26.43,6.9,0.65,0.0
20140102:1110,5031600.0,113.52,26.22,7.72,0.82,0.0
20140102:1210,5160600.0,116.36,23.03,8.54,0.99,0.0
20140102:1310,3601800.0,86.08,17.26,8.59,1.03,0.0
20140102:1410,1798800.0,49.78,9.49,8.64,1.07,0.0
20140102:1510,0.0,0.0,0.0,8.7,1.1,0.0
20140102:1610,0.0,0.0,0.0,8.06,0.92,0.0
20140102:1710,0.0,0.0,0.0,7.43,0.74,0.0
20140102:1810,0.0,0.0,0.0,6.79,0.57,0.0
20140102:1910,0.0,0.0,0.0,6.11,0.66,0.0
20140102:2010,0.0,0.0,0.0,5.43,0.76,0.0
20140102:2110,0.0,0.0,0.0,4.75,0.86,0.0
20140102:2210,0.0,0.0,0.0,3.97,0.89,0.0
20140102:2310,0.0,0.0,0.0,3.19,0.92,0.0
20140103:0010,0.0,0.0,0.0,2.4,0.95,0.0
20140103:0110,0.0,0.0,0.0,1.67,0.93,0.0
20140103:0210,0.0,0.0,0.0,0.94,0.91,0.0
20140103:0310,0.0,0.0,0.0,0.2,0.9,0.0
20140103:0410,0.0,0.0,0.0,-0.19,0.85,0.0
20140103:0510,0.0,0.0,0.0,-0.58,0.8,0.0
20140103:0610,0.0,0.0,0.0,-0.97,0.74,0.0
20140103:0710,18890400.0,371.65,10.68,1.77,0.68,0.0
20140103:0810,29469600.0,581.73,18.23,4.51,0.62,0.0
20140103:0910,37664400.0,767.35,23.69,7.25,0.55,0.0
20140103:1010,39703800.0,819.3,26.52,8.43,0.57,0.0
20140103:1110,40617600.0,845.24,26.33,9.62,0.59,0.0
20140103:1210,35729400.0,737.08,23.15,10.8,0.61,0.0
20140103:1310,28523400.0,578.17,17.39,10.59,0.81,0.0
20140103:1410,1783200.0,49.78,9.63,10.38,1.02,0.0
20140103:1510,0.0,0.0,0.0,10.17,1.23,0.0
20140103:1610,0.0,0.0,0.0,9.25,1.0,0.0
20140103:1710,0.0,0.0,0.0,8.34,0.77,0.0
20140103:1810,0.0,0.0,0.0,7.43,0.54,0.0
20140103:1910,0.0,0.0,0.0,6.11,0.63,0.0
20140103:2010,0.0,0.0,0.0,4.79,0.71,0.0
20140103:2110,0.0,0.0,0.0,3.47,0.8,0.0
20140103:2210,0.0,0.0,0.0,2.83,0.84,0.0
20140103:2310,0.0,0.0,0.0,2.19,0.87,0.0
20140104:0010,0.0,0.0,0.0,1.54,0.91,0.0
20140104:0110,0.0,0.0,0.0,0.73,0.95,0.0
20140104:0210,0.0,0.0,0.0,-0.08,0.98,0.0
20140104:0310,0.0,0.0,0.0,-0.89,1.02,0.0
20140104:0410,0.0,0.0,0.0,-1.0,0.98,0.0
20140104:0510,0.0,0.0,0.0,-1.1,0.94,0.0
20140104:0610,0.0,0.0,0.0,-1.21,0.9,0.0
20140104:0710,18885000.0,370.55,10.69,1.41,0.83,0.0
20140104:0810,30348000.0,597.19,18.27,4.03,0.77,0.0
20140104:0910,37915800.0,768.17,23.76,6.66,0.7,0.0
20140104:1010,39973200.0,819.42,26.61,7.83,0.76,0.0
20140104:1110,40732200.0,840.93,26.44,9.01,0.81,0.0
20140104:1210,35881800.0,734.56,23.28,10.19,0.87,0.0
20140104:1310,28376400.0,571.58,17.53,9.83,0.99,0.0
20140104:1410,1878000.0,51.59,9.77,9.47,1.11,0.0
20140104:1510,0.0,0.0,0.0,9.12,1.23,0.0
20140104:1610,0.0,0.0,0.0,7.82,1.04,0.0
20140104:1710,0.0,0.0,0.0,6.53,0.86,0.0
20140104:1810,0.0,0.0,0.0,5.23,0.68,0.0
20140104:1910,0.0,0.0,0.0,4.02,0.78,0.0
20140104:2010,0.0,0.0,0.0,2.82,0.89,0.0
20140104:2110,0.0,0.0,0.0,1.61,0.99,0.0
