Sampling Interval(sec),001
Measuring date,2024/09/20 12:22:43

Strength,Odor Intensity
0221,3,5
0246,3,6
0265,3,6
0262,3,6
0259,3,6
0259,3,7
0287,3,7
0313,3,7
0334,3,7
0352,3,8
0363,3,8
0363,3,8
0351,3,9
0332,3,9
0325,3,8
0295,3,8
0267,3,8
0245,3,8
0229,3,7
0206,3,7
0193,3,6
0179,3,6
0177,3,5
0169,3,5
0162,3,5
0160,3,4
0149,3,4
0130,3,4
0121,3,3
0110,3,3
0103,3,2
0102,3,2
0095,3,2
0088,3,1
0083,3,1
0081,3,1
0074,3,0
0063,3,0
0052,2,9
0044,2,8
0037,2,8
0035,2,7
0034,2,6
0034,2,6
0035,2,5
0036,2,5
0037,2,5
0037,2,5
0037,2,5
0039,2,5
0039,2,5
0045,2,5
0050,2,6
0054,2,6
0058,2,6
0060,2,7
0070,2,7
0084,2,8
0091,2,9
0100,2,9
0102,3,0
0103,3,0
0107,3,1
0108,3,1
0104,3,1
0093,3,1
0084,3,1
0074,3,0
0060,3,0
0050,2,9
0041,2,8
0038,2,7
0035,2,7
0033,2,6
0030,2,5
0029,2,5
0027,2,5
0027,2,5
0026,2,5
0025,2,5
0022,2,5
0017,2,5
0015,2,5
0013,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0013,2,5
0015,2,5
0020,2,5
0022,2,5
0022,2,5
0021,2,5
0020,2,5
0018,2,5
0016,2,5
0015,2,5
0015,2,5
0016,2,5
0016,2,5
0018,2,5
0018,2,5
0017,2,5
0015,2,5
0013,2,5
0012,2,5
0011,2,5
0011,2,5
0010,2,5
0010,2,5
0011,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0013,2,5
0013,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0014,2,5
0013,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0009,2,5
0009,2,5
0009,2,5
0009,2,5
0010,2,5
0011,2,5
0012,2,5
0012,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0011,2,5
0011,2,5
0011,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0010,2,5
0009,2,5
0009,2,5
0009,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
0008,2,5
