Sampling Interval(sec),001
Measuring date,2024/09/20 12:10:06

Strength,Odor Intensity
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
