Sampling Interval(sec),001
Measuring date,2024/09/20 11:20:16

Strength,Odor Intensity
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
0000,2,5
